date,rb_value,ml_blend_value,rb_return_pct,ml_blend_ret_pct,rb_regime,ml_regime,ml_conf,growth_score,inflation_score,rb_cum_pct,ml_cum_pct
2020-01-10,10016.7758,10011.6131,0.1678,0.1161,STAGFLATION,REFLATION,88.4,46.38,58.03,0.16775799999999563,0.1161310000000082
2020-01-17,10063.8278,10060.0985,0.4697,0.4843,STAGFLATION,REFLATION,84.68,47.55,53.77,0.638277999999981,0.6009850000000094
2020-01-24,9971.4991,9937.8955,-0.9174,-1.2147,REFLATION,REFLATION,86.74,53.27,51.59,-0.28500899999999163,-0.6210449999999978
2020-01-31,9901.7832,9821.8598,-0.6992,-1.1676,DEFLATION,REFLATION,86.45,46.58,49.02,-0.9821680000000055,-1.7814019999999986
2020-02-07,9955.0253,9886.9656,0.5377,0.6629,STAGFLATION,REFLATION,85.63,45.14,54.92,-0.44974700000001144,-1.1303440000000053
2020-02-14,10039.5716,9975.9848,0.8493,0.9004,GOLDILOCKS,REFLATION,87.75,51.34,45.75,0.3957159999999904,-0.24015199999999348
2020-02-21,10060.0783,9994.108,0.2043,0.1817,GOLDILOCKS,REFLATION,81.99,52.6,46.94,0.6007829999999936,-0.05891999999999564
2020-02-28,9693.9934,9571.3552,-3.639,-4.23,DEFLATION,REFLATION,73.55,46.3,47.75,-3.0600660000000057,-4.286447999999998
2020-03-06,9847.9223,9681.4659,1.5879,1.1504,STAGFLATION,REFLATION,82.18,35.6,52.43,-1.5207769999999954,-3.185341000000008
2020-03-13,9380.6194,9125.1534,-4.7452,-5.7462,DEFLATION,REFLATION,93.02,24.33,47.68,-6.193806000000002,-8.748466000000011
2020-03-20,9375.4016,8903.3957,-0.0556,-2.4302,DEFLATION,REFLATION,85.19,29.25,21.79,-6.245984000000004,-10.966043000000013
2020-03-27,9572.6413,9181.5037,2.1038,3.1236,DEFLATION,REFLATION,86.9,16.8,20.63,-4.273587000000012,-8.184963000000012
2020-04-03,9616.7647,9187.7671,0.4609,0.0682,DEFLATION,REFLATION,90.58,15.24,32.88,-3.8323529999999995,-8.122329000000006
2020-04-10,9629.3542,9325.269,0.1309,1.4966,DEFLATION,REFLATION,82.69,10.63,20.56,-3.7064580000000014,-6.747309999999995
2020-04-17,9683.025,9375.8905,0.5574,0.5428,DEFLATION,REFLATION,85.08,11.65,33.41,-3.1697500000000045,-6.241095000000008
2020-04-24,9721.3915,9349.3333,0.3962,-0.2832,DEFLATION,REFLATION,85.13,11.83,27.71,-2.786085000000005,-6.506666999999999
2020-05-01,9665.7185,9311.9627,-0.5727,-0.3997,DEFLATION,REFLATION,84.46,11.27,21.62,-3.342814999999988,-6.880372999999995
2020-05-08,9675.3432,9399.9141,0.0996,0.9445,DEFLATION,REFLATION,85.05,12.26,29.04,-3.2465680000000052,-6.000859000000003
2020-05-15,9724.0129,9407.5312,0.503,0.081,DEFLATION,REFLATION,85.26,14.66,25.04,-2.7598710000000026,-5.924688
2020-05-22,9726.3884,9464.3137,0.0244,0.6036,DEFLATION,REFLATION,85.14,13.91,21.46,-2.7361159999999995,-5.35686299999999
2020-05-29,9709.917,9502.3703,-0.1693,0.4021,DEFLATION,REFLATION,85.7,14.88,26.85,-2.90083000000001,-4.976296999999996
2020-06-05,9602.0416,9528.6847,-1.111,0.2769,DEFLATION,REFLATION,85.02,15.23,31.47,-3.9795839999999916,-4.713153000000004
2020-06-12,9679.8588,9526.9356,0.8104,-0.0184,DEFLATION,REFLATION,87.52,21.25,36.47,-3.2014120000000035,-4.7306439999999945
2020-06-19,9720.2658,9593.4157,0.4174,0.6978,DEFLATION,REFLATION,85.32,16.62,34.32,-2.7973420000000027,-4.065843000000003
2020-06-26,9752.8009,9587.9053,0.3347,-0.0574,DEFLATION,REFLATION,85.41,17.14,31.21,-2.4719909999999956,-4.1209469999999975
2020-07-03,9765.3265,9664.0504,0.1284,0.7942,DEFLATION,REFLATION,84.09,16.24,30.05,-2.346735000000011,-3.359495999999995
2020-07-10,9841.1379,9762.6958,0.7763,1.0207,DEFLATION,REFLATION,85.88,28.79,36.19,-1.5886210000000012,-2.373042000000003
2020-07-17,9857.3253,9782.4133,0.1645,0.202,DEFLATION,REFLATION,89.32,29.77,41.23,-1.4267469999999949,-2.175866999999998
2020-07-24,9979.5436,9902.3087,1.2399,1.2256,DEFLATION,REFLATION,90.58,31.03,44.17,-0.20456399999999597,-0.9769130000000015
2020-07-31,10078.4926,9997.2346,0.9915,0.9586,DEFLATION,REFLATION,89.33,29.71,46.07,0.7849259999999969,-0.02765399999999918
2020-08-07,10191.717,10130.7985,1.1234,1.336,DEFLATION,REFLATION,89.84,30.88,45.05,1.9171700000000014,1.3079850000000004
2020-08-14,10073.3364,10046.2775,-1.1615,-0.8343,DEFLATION,REFLATION,89.56,31.99,46.99,0.7333639999999919,0.46277500000000416
2020-08-21,10115.0308,10079.3803,0.4139,0.3295,DEFLATION,REFLATION,87.23,35.44,45.08,1.1503079999999999,0.793803000000004
2020-08-28,10118.913,10132.3491,0.0384,0.5255,DEFLATION,REFLATION,89.42,33.42,41.46,1.189130000000005,1.3234909999999989
2020-09-04,10028.5474,10010.0546,-0.893,-1.207,DEFLATION,REFLATION,85.6,36.37,48.24,0.2854739999999856,0.10054600000000136
2020-09-11,10001.669,9957.6051,-0.268,-0.524,DEFLATION,REFLATION,91.83,37.16,43.39,0.016689999999996985,-0.42394899999999014
2020-09-18,10036.4367,10029.533,0.3476,0.7223,DEFLATION,REFLATION,92.37,36.46,39.5,0.3643669999999988,0.29532999999999365
2020-09-25,9925.6051,9875.5729,-1.1043,-1.5351,DEFLATION,REFLATION,92.87,37.28,43.6,-0.7439489999999882,-1.244271000000008
2020-10-02,9925.7151,9897.0569,0.0011,0.2175,DEFLATION,REFLATION,91.84,36.2,32.25,-0.742849000000001,-1.0294310000000029
2020-10-09,10012.7115,10055.2327,0.8765,1.5982,DEFLATION,REFLATION,94.97,37.06,38.19,0.12711499999999987,0.552327000000008
2020-10-16,9996.5319,10031.2464,-0.1616,-0.2385,DEFLATION,REFLATION,95.51,40.07,46.56,-0.03468100000000307,0.3124640000000012
2020-10-23,9979.8206,10028.506,-0.1672,-0.0273,DEFLATION,REFLATION,94.55,39.38,43.09,-0.2017940000000107,0.28505999999999254
2020-10-30,9808.494,9808.7838,-1.7167,-2.191,DEFLATION,REFLATION,95.66,41.06,49.02,-1.9150599999999907,-1.9121620000000061
2020-11-06,10046.0603,10100.9864,2.422,2.979,DEFLATION,REFLATION,94.24,39.74,38.09,0.46060299999999277,1.0098640000000048
2020-11-13,10073.452,10153.7381,0.2727,0.5222,DEFLATION,REFLATION,95.66,43.04,47.04,0.734519999999983,1.5373810000000043
2020-11-20,10142.8232,10228.9702,0.6887,0.7409,DEFLATION,REFLATION,94.4,42.51,45.72,1.4282320000000182,2.2897020000000046
2020-11-27,10144.6292,10272.8404,0.0178,0.4289,DEFLATION,REFLATION,95.04,42.96,47.71,1.4462919999999935,2.7284039999999843
2020-12-04,10198.6051,10341.4486,0.5321,0.6679,DEFLATION,REFLATION,93.79,42.71,49.03,1.9860509999999998,3.4144860000000055
2020-12-11,10229.0994,10374.1082,0.299,0.3158,STAGFLATION,REFLATION,96.26,47.27,54.83,2.2909939999999906,3.7410820000000067
2020-12-18,10388.798,10545.2875,1.5612,1.6501,STAGFLATION,REFLATION,94.4,45.84,53.54,3.887980000000013,5.4528750000000015
2020-12-25,10385.9144,10532.6981,-0.0278,-0.1194,STAGFLATION,REFLATION,91.55,46.07,58.75,3.8591440000000032,5.326980999999997
2021-01-01,10477.3121,10628.3234,0.88,0.9079,STAGFLATION,REFLATION,92.7,46.64,56.6,4.773121000000002,6.283233999999993
2021-01-08,10626.6808,10818.1974,1.4256,1.7865,REFLATION,REFLATION,94.88,50.08,57.91,6.26680799999999,8.18197399999998
2021-01-15,10581.9138,10779.3119,-0.4213,-0.3594,REFLATION,REFLATION,95.19,51.43,57.35,5.8191380000000015,7.793119000000015
2021-01-22,10640.6101,10843.0464,0.5547,0.5913,GOLDILOCKS,REFLATION,95.91,52.38,49.5,6.4061010000000085,8.430463999999983
2021-01-29,10545.1814,10726.0336,-0.8968,-1.0792,REFLATION,REFLATION,96.97,52.29,56.67,5.451813999999988,7.260336000000001
2021-02-05,10762.9869,10991.1394,2.0654,2.4716,REFLATION,REFLATION,97.09,51.3,57.09,7.629869,9.911394000000007
2021-02-12,10913.6743,11157.9473,1.4001,1.5177,REFLATION,REFLATION,96.4,50.61,57.3,9.136743000000003,11.579472999999997
2021-02-19,10884.7805,11133.5527,-0.2647,-0.2186,STAGFLATION,REFLATION,91.55,49.95,65.1,8.847804999999997,11.335527
2021-02-26,10707.2246,10946.6662,-1.6312,-1.6786,REFLATION,REFLATION,96.64,52.72,62.72,7.072246000000004,9.466661999999992
