window,v2b_sharpe,v3_sharpe,v3f_sharpe,v2b_dd,v3_dd,v3f_dd
WF1: train 2010-2014 | test 2015-2016,0.471,0.542,0.482,7.65,5.15,5.49
WF2: train 2011-2015 | test 2016-2017,0.572,2.607,2.59,7.65,3.67,3.66
WF3: train 2012-2016 | test 2017-2018,0.202,0.76,0.889,10.8,11.29,9.6
WF4: train 2013-2017 | test 2018-2019,0.201,0.28,0.274,10.8,11.29,9.97
WF5: train 2014-2018 | test 2019-2020,0.712,1.294,1.361,6.84,10.18,8.72
WF6: train 2015-2019 | test 2020-2021,0.099,0.901,0.897,8.92,10.18,10.11
WF7: train 2016-2020 | test 2021-2022,-0.184,0.237,0.201,13.46,12.92,11.58
WF8: train 2017-2021 | test 2022-2023,-0.035,0.079,-0.12,13.46,12.92,12.53
WF9: train 2018-2022 | test 2023-2024,1.095,1.113,1.006,4.95,5.55,5.37
WF10: train 2019-2023 | test 2024-2025,2.247,1.94,1.951,4.22,6.98,6.31
WF11: train 2020-2024 | test 2025-2026,1.317,1.938,1.934,10.1,6.98,6.98
