date,regime,confidence,growth_score,inflation_score
2006-09-22,TRANSITIONING,,57.73015873015872,
2006-09-23,TRANSITIONING,,64.37400950871633,
2006-09-24,TRANSITIONING,,57.07533403656822,
2006-09-25,TRANSITIONING,,57.19490364851298,
2006-09-26,TRANSITIONING,,57.54352513676476,
2006-09-27,TRANSITIONING,,57.93580541768772,
2006-09-28,TRANSITIONING,,55.55870930301768,
2006-09-29,TRANSITIONING,,56.76915248231334,
2006-09-30,TRANSITIONING,,60.87296599699008,
2006-10-01,TRANSITIONING,,66.4584577059426,
2006-10-02,TRANSITIONING,,66.41576459639498,
2006-10-03,TRANSITIONING,,66.28974110451117,
2006-10-04,TRANSITIONING,,66.25004867601245,
2006-10-05,TRANSITIONING,,66.4210882587714,
2006-10-06,TRANSITIONING,,67.54175051437343,
2006-10-07,TRANSITIONING,,64.89181244248336,
2006-10-08,TRANSITIONING,,64.86875757167856,
2006-10-09,TRANSITIONING,,64.78763444081011,
2006-10-10,TRANSITIONING,,64.36104501904725,
2006-10-11,TRANSITIONING,,63.77091058331726,
2006-10-12,TRANSITIONING,,65.11418170307059,
2006-10-13,TRANSITIONING,,63.77483339211059,
2006-10-14,TRANSITIONING,,68.13765534056945,
2006-10-15,TRANSITIONING,,68.10988160516393,
2006-10-16,TRANSITIONING,,69.95974903535267,
2006-10-17,TRANSITIONING,,70.11176055706876,
2006-10-18,TRANSITIONING,,69.80459135153278,
2006-10-19,TRANSITIONING,,69.99199848180294,
2006-10-20,TRANSITIONING,,70.1635900857489,
2006-10-21,TRANSITIONING,,67.03485632721504,
2006-10-22,TRANSITIONING,,67.00903794786774,
2006-10-23,TRANSITIONING,,71.11202811148173,
2006-10-24,TRANSITIONING,,70.41723122463303,
2006-10-25,TRANSITIONING,,69.08157118311074,
2006-10-26,TRANSITIONING,,69.02134595784952,
2006-10-27,TRANSITIONING,,69.02666167681647,
2006-10-28,TRANSITIONING,,62.42900656680777,
2006-10-29,TRANSITIONING,,62.41035497288949,
2006-10-30,TRANSITIONING,,61.256874389359425,
2006-10-31,TRANSITIONING,,61.22879143387948,
2006-11-01,TRANSITIONING,,60.76823219233175,
2006-11-02,TRANSITIONING,,61.4983121667309,
2006-11-03,TRANSITIONING,,61.678949004975124,
2006-11-04,TRANSITIONING,,65.30199690127101,
2006-11-05,TRANSITIONING,,65.2792791201545,
2006-11-06,TRANSITIONING,,65.16376093775798,
2006-11-07,TRANSITIONING,,64.95214621412978,
2006-11-08,TRANSITIONING,,64.88683735434105,
2006-11-09,TRANSITIONING,,64.09193852437555,
2006-11-10,TRANSITIONING,,63.92961925210779,
2006-11-11,TRANSITIONING,,67.51206692116375,
2006-11-12,TRANSITIONING,,67.48634296354447,
2006-11-13,TRANSITIONING,,67.59182191938358,
2006-11-14,TRANSITIONING,,67.26869917563025,
2006-11-15,TRANSITIONING,,67.26421687160226,
2006-11-16,TRANSITIONING,,67.55013305404452,
2006-11-17,TRANSITIONING,,67.53794207741576,
2006-11-18,TRANSITIONING,,60.97431620253792,
2006-11-19,TRANSITIONING,,60.958355933735625,
2006-11-20,TRANSITIONING,,60.67922028352942,
2006-11-21,TRANSITIONING,,60.841787439613526,
2006-11-22,TRANSITIONING,,60.77166198626756,
2006-11-23,TRANSITIONING,,60.756087515009355,
2006-11-24,TRANSITIONING,,60.692318749482276,
2006-11-25,TRANSITIONING,,56.8944829893444,
2006-11-26,TRANSITIONING,,56.88455469390721,
2006-11-27,TRANSITIONING,,56.622493568297514,
2006-11-28,TRANSITIONING,,56.40675006623109,
2006-11-29,TRANSITIONING,,56.276636037282216,
2006-11-30,TRANSITIONING,,55.790606448099325,
2006-12-01,TRANSITIONING,,58.33668986219129,
2006-12-02,TRANSITIONING,,61.653370721164734,
2006-12-03,TRANSITIONING,,61.636765703432374,
2006-12-04,TRANSITIONING,,61.10071198159643,
2006-12-05,TRANSITIONING,,62.90949020115687,
2006-12-06,TRANSITIONING,,61.71881231735655,
2006-12-07,TRANSITIONING,,62.202918437204914,
2006-12-08,TRANSITIONING,,62.418511607999704,
2006-12-09,TRANSITIONING,,69.40425889470399,
2006-12-10,TRANSITIONING,,69.37688232857136,
2006-12-11,TRANSITIONING,,68.6374830906342,
2006-12-12,TRANSITIONING,,68.09998135286918,
2006-12-13,TRANSITIONING,,68.29169304214803,
2006-12-14,TRANSITIONING,,66.94746911059691,
2006-12-15,TRANSITIONING,,66.9974703364492,
2006-12-16,TRANSITIONING,,64.1182207227088,
2006-12-17,TRANSITIONING,,64.09850346097471,
2006-12-18,TRANSITIONING,,65.39935401650882,
2006-12-19,TRANSITIONING,,63.28409403318758,
2006-12-20,TRANSITIONING,,63.12963889745623,
2006-12-21,TRANSITIONING,,62.163171876612,
2006-12-22,TRANSITIONING,,63.75154883915028,
2006-12-23,TRANSITIONING,,61.30868151738997,
2006-12-24,TRANSITIONING,,61.293042039225014,
2006-12-25,TRANSITIONING,,61.277445758916045,
2006-12-26,TRANSITIONING,,61.71601882323016,
2006-12-27,TRANSITIONING,,61.57211872618703,
2006-12-28,TRANSITIONING,,61.89298328827333,
2006-12-29,TRANSITIONING,,62.633073996710365,
2006-12-30,TRANSITIONING,,58.21473518961929,
2006-12-31,TRANSITIONING,,58.20347859902654,
2007-01-01,TRANSITIONING,,51.82084378715916,
2007-01-02,TRANSITIONING,,51.53296466801407,
2007-01-03,TRANSITIONING,,51.90820787212692,
2007-01-04,TRANSITIONING,,51.244174446479356,
2007-01-05,TRANSITIONING,,51.46417202624569,
2007-01-06,TRANSITIONING,,53.20583992319236,
2007-01-07,TRANSITIONING,,53.20148792217022,
2007-01-08,TRANSITIONING,,53.03070750363301,
2007-01-09,TRANSITIONING,,52.86265192673611,
2007-01-10,TRANSITIONING,,54.4565693742523,
2007-01-11,TRANSITIONING,,54.42010181416206,
2007-01-12,TRANSITIONING,,53.40625531191569,
2007-01-13,TRANSITIONING,,65.02122826997092,
2007-01-14,TRANSITIONING,,65.00103553797254,
2007-01-15,TRANSITIONING,,64.98089702247073,
2007-01-16,TRANSITIONING,,64.55758669895356,
2007-01-17,TRANSITIONING,,63.8345177877805,
2007-01-18,TRANSITIONING,,62.521340793202484,
